iter	RMSE
0	14918.21033
1	14754.18821
2	14615.82426
3	14529.58119
4	14400.54791
5	14323.06475
6	14225.188
7	14137.46015
8	14069.85915
9	13996.21625
10	13929.14734
11	13867.12388
12	13790.14543
13	13730.27479
14	13696.58618
15	13658.09151
16	13618.89538
17	13581.7593
18	13518.21376
19	13503.45012
20	13461.09129
21	13425.03699
22	13418.79251
23	13410.8169
24	13391.74831
25	13379.44686
26	13331.07693
27	13305.60355
28	13269.68547
29	13252.02544
30	13250.30232
31	13217.94474
32	13203.89054
33	13177.54035
34	13176.07002
35	13174.72043
36	13174.35914
37	13158.93577
38	13133.7083
39	13113.55237
40	13112.72691
41	13099.08451
42	13077.47014
43	13065.6647
44	13058.90751
45	13034.55349
46	13015.52152
47	13006.53171
48	12996.67224
49	12995.94372
50	12995.73956
51	12969.31854
52	12960.35982
53	12960.30556
54	12950.30778
55	12946.11365
56	12920.23082
57	12914.25917
58	12870.77949
59	12864.94996
60	12839.60197
61	12833.92689
62	12833.32747
63	12815.81966
64	12804.39467
65	12799.1254
66	12794.34572
67	12783.12811
68	12783.12775
69	12773.43338
70	12756.57169
71	12751.77766
72	12740.00027
73	12739.60092
74	12733.52919
75	12732.42814
76	12722.5625
77	12722.17446
78	12720.05885
79	12708.94202
80	12697.39078
81	12681.22145
82	12665.79608
83	12665.04085
84	12663.16123
85	12642.70045
86	12637.78156
87	12612.10926
88	12611.81903
89	12586.05104
90	12549.37942
91	12537.80488
92	12536.65619
93	12536.38495
94	12534.97932
95	12526.66369
96	12526.4336
97	12516.10406
98	12511.71967
99	12499.89429
100	12492.3527
101	12481.43761
102	12479.81996
103	12461.53334
104	12450.61569
105	12430.20525
106	12428.98406
107	12427.31998
108	12418.74632
109	12417.62803
110	12414.82196
111	12404.15624
112	12400.12353
113	12383.4622
114	12339.63138
115	12336.72802
116	12316.29919
117	12307.46465
118	12303.19716
119	12288.31238
120	12284.68523
121	12274.01153
122	12257.2803
123	12248.73416
124	12244.85924
125	12242.86375
126	12230.13735
127	12226.1206
128	12221.57775
129	12212.61929
130	12200.95909
131	12194.99751
132	12193.21427
133	12189.11018
134	12186.44532
135	12177.75527
136	12169.9313
137	12165.7905
138	12160.65686
139	12144.96242
140	12143.3033
141	12116.66497
142	12110.21461
143	12100.78105
144	12080.38687
145	12075.77079
146	12068.26911
147	12050.91567
148	12044.80471
149	12040.6216
150	12036.24543
151	12032.05652
152	12026.15632
153	12017.80179
154	12003.17711
155	11991.13881
156	11989.30894
157	11961.76505
158	11935.63655
159	11916.18687
160	11892.7397
161	11886.88822
162	11880.21835
163	11871.19239
164	11866.79135
165	11859.40214
166	11838.22111
167	11833.44585
168	11827.24982
169	11826.60108
170	11821.34301
171	11809.9723
172	11790.49716
173	11786.90374
174	11776.18396
175	11761.70678
176	11745.04342
177	11727.11783
178	11707.36844
179	11699.97485
180	11694.35824
181	11692.68561
182	11686.32512
183	11682.92083
184	11676.83765
185	11668.07309
186	11665.46726
187	11649.62423
188	11636.53977
189	11629.2263
190	11626.11823
191	11616.43251
192	11615.22306
193	11604.53537
194	11602.24434
195	11558.36788
196	11531.726
197	11504.23515
198	11499.68685
199	11495.84099
200	11471.48603
201	11466.73572
202	11451.66213
203	11446.25593
204	11445.64622
205	11420.99045
206	11414.09318
207	11407.01081
208	11402.78466
209	11396.22213
210	11385.88221
211	11377.76804
212	11367.81759
213	11362.18394
214	11359.02698
215	11326.11078
216	11321.5673
217	11311.47931
218	11309.39547
219	11305.42774
220	11302.07318
221	11299.91586
222	11273.07228
223	11252.86161
224	11242.20262
225	11223.50459
226	11198.07692
227	11147.45262
228	11121.40512
229	11117.37251
230	11114.50536
231	11113.57258
232	11098.82742
233	11084.90785
234	11084.45312
235	11075.43028
236	11070.62619
237	11047.50002
238	11035.57173
239	11032.04363
240	11016.73249
241	11011.61282
242	10999.91512
243	10988.01356
244	10979.68898
245	10971.00297
246	10968.83763
247	10954.89844
248	10942.99233
249	10927.75938
250	10909.04408
251	10905.3493
252	10891.48675
253	10872.83522
254	10863.90026
255	10845.96663
256	10823.26847
257	10821.7714
258	10807.82638
259	10793.62121
260	10780.34656
261	10765.24203
262	10737.67591
263	10730.59451
264	10715.71623
265	10699.92576
266	10686.34755
267	10677.13183
268	10655.92894
269	10647.1689
270	10639.64464
271	10626.08823
272	10616.93165
273	10611.97467
274	10604.18079
275	10599.02662
276	10568.60801
277	10536.79773
278	10512.26856
279	10509.57456
280	10494.18397
281	10486.30929
282	10466.22188
283	10459.31495
284	10454.2664
285	10452.26969
286	10445.53573
287	10437.65941
288	10434.10422
289	10420.20972
290	10415.21163
291	10409.11525
292	10405.74413
293	10394.56175
294	10381.61206
295	10376.62614
296	10356.82035
297	10333.28201
298	10326.45653
299	10322.03726
300	10318.23542
301	10305.40679
302	10268.39573
303	10266.3581
304	10261.97701
305	10246.30476
306	10223.531
307	10221.71817
308	10213.22266
309	10210.00162
310	10209.07418
311	10202.99552
312	10195.75434
313	10195.16239
314	10192.27716
315	10189.92086
316	10186.62234
317	10170.67417
318	10167.49807
319	10151.32234
320	10147.89589
321	10142.50163
322	10131.75642
323	10114.81768
324	10113.69085
325	10075.1771
326	10065.77157
327	10054.55755
328	10024.57104
329	10006.2235
330	10004.5392
331	9988.837879
332	9980.701112
333	9975.991691
334	9974.306108
335	9965.37847
336	9949.09567
337	9904.669063
338	9903.436239
339	9896.92325
340	9888.686305
341	9882.859218
342	9863.949642
343	9852.805423
344	9850.167813
345	9844.326901
346	9838.175009
347	9815.014755
348	9814.075225
349	9810.078723
350	9804.44383
351	9801.114822
352	9800.254738
353	9799.01547
354	9796.040773
355	9791.469588
356	9780.36366
357	9775.574242
358	9769.204217
359	9768.752469
360	9756.549607
361	9736.349719
362	9731.799202
363	9727.015562
364	9721.641033
365	9709.050384
366	9691.782558
367	9687.913427
368	9655.234549
369	9643.297102
370	9642.061372
371	9632.245311
372	9629.650486
373	9625.596264
374	9613.881638
375	9609.133535
376	9600.162753
377	9588.815813
378	9574.442392
379	9562.512293
380	9561.614705
381	9545.73205
382	9542.317686
383	9531.40521
384	9529.741239
385	9527.410588
386	9515.724175
387	9513.221503
388	9512.201306
389	9508.084422
390	9502.34424
391	9496.885129
392	9459.176326
393	9456.916408
394	9452.344179
395	9444.337747
396	9434.044959
397	9423.8767
398	9413.13008
399	9409.408184
400	9383.727078
401	9382.862625
402	9381.657767
403	9378.45371
404	9377.150175
405	9376.66485
406	9345.356515
407	9338.897031
408	9335.139946
409	9323.199391
410	9321.99147
411	9316.769675
412	9314.740805
413	9302.234397
414	9300.701675
415	9284.559687
416	9280.866211
417	9278.791525
418	9274.085778
419	9263.417058
420	9258.001717
421	9249.378159
422	9242.835417
423	9236.566044
424	9229.141744
425	9217.866461
426	9208.129521
427	9201.35143
428	9201.112389
429	9193.481402
430	9186.703119
431	9165.94846
432	9148.198798
433	9147.077378
434	9146.388844
435	9134.302137
436	9131.456958
437	9123.373768
438	9120.18827
439	9115.75097
440	9114.721716
441	9109.411343
442	9108.018278
443	9105.147354
444	9102.55316
445	9101.646988
446	9083.062374
447	9080.272343
448	9072.688315
449	9058.905997
450	9056.225732
451	9052.120954
452	9046.861273
453	9036.121998
454	9029.642775
455	9021.614086
456	9009.77322
457	9009.147401
458	9006.610483
459	8997.331576
460	8992.064373
461	8974.48288
462	8965.63401
463	8956.283425
464	8950.545653
465	8948.01852
466	8940.940309
467	8940.309215
468	8930.239787
469	8929.640068
470	8927.35515
471	8915.522937
472	8898.009465
473	8889.662387
474	8884.66824
475	8882.48676
476	8880.685372
477	8870.009332
478	8847.820245
479	8843.917443
480	8835.497595
481	8834.681683
482	8827.68663
483	8819.008476
484	8803.24034
485	8801.682214
486	8792.498396
487	8788.119231
488	8772.955404
489	8771.404085
490	8760.720087
491	8754.401749
492	8747.95948
493	8746.615752
494	8736.3421
495	8734.527458
496	8725.820955
497	8719.135595
498	8718.843971
499	8712.709748
