iter	Passed	Remaining
0	23	11552
1	71	17746
2	108	17996
3	140	17401
4	171	16988
5	185	15293
6	215	15196
7	252	15553
8	271	14793
9	302	14816
10	335	14893
11	380	15475
12	434	16276
13	495	17209
14	557	18010
15	633	19166
16	713	20276
17	785	21039
18	864	21881
19	935	22451
20	1003	22896
21	1052	22869
22	1103	22894
23	1165	23106
24	1240	23565
25	1304	23785
26	1367	23958
27	1435	24193
28	1504	24438
29	1580	24768
30	1615	24445
31	1682	24613
32	1751	24786
33	1822	24981
34	1852	24617
35	1881	24245
36	1901	23797
37	1965	23897
38	2034	24053
39	2106	24227
40	2128	23827
41	2204	24037
42	2275	24181
43	2344	24297
44	2414	24416
45	2483	24514
46	2556	24636
47	2624	24717
48	2668	24563
49	2688	24194
50	2724	23981
51	2791	24047
52	2856	24095
53	2882	23804
54	2956	23918
55	3012	23883
56	3081	23946
57	3145	23970
58	3214	24024
59	3276	24024
60	3346	24087
61	3410	24094
62	3431	23805
63	3500	23848
64	3562	23843
65	3632	23886
66	3696	23887
67	3751	23835
68	3775	23585
69	3832	23543
70	3901	23575
71	3950	23480
72	3984	23308
73	3994	22994
74	4021	22787
75	4063	22670
76	4108	22567
77	4143	22416
78	4192	22340
79	4242	22273
80	4290	22193
81	4338	22116
82	4381	22014
83	4400	21790
84	4422	21593
85	4468	21510
86	4499	21359
87	4536	21236
88	4548	21003
89	4598	20946
90	4640	20856
91	4685	20781
92	4706	20599
93	4719	20386
94	4737	20197
95	4785	20138
96	4798	19937
97	4866	19963
98	4909	19886
99	4956	19824
100	5002	19764
101	5048	19700
102	5093	19633
103	5141	19575
104	5184	19503
105	5225	19423
106	5253	19295
107	5291	19207
108	5341	19159
109	5365	19023
110	5413	18971
111	5454	18896
112	5509	18868
113	5548	18786
114	5590	18714
115	5633	18648
116	5678	18587
117	5728	18545
118	5775	18492
119	5823	18442
120	5866	18375
121	5913	18323
122	5957	18258
123	6006	18211
124	6066	18198
125	6116	18153
126	6163	18101
127	6216	18066
128	6263	18013
129	6314	17972
130	6366	17932
131	6413	17881
132	6462	17832
133	6511	17784
134	6558	17731
135	6607	17683
136	6658	17643
137	6704	17585
138	6753	17539
139	6803	17495
140	6849	17438
141	6892	17376
142	6936	17317
143	6980	17258
144	7025	17201
145	7069	17140
146	7112	17079
147	7151	17007
148	7197	16955
149	7243	16901
150	7284	16837
151	7327	16776
152	7376	16730
153	7427	16687
154	7475	16639
155	7520	16582
156	7560	16517
157	7609	16471
158	7661	16430
159	7710	16384
160	7754	16328
161	7804	16284
162	7845	16220
163	7884	16153
164	7936	16114
165	7986	16068
166	8036	16024
167	8095	15998
168	8146	15954
169	8197	15912
170	8252	15876
171	8306	15840
172	8370	15820
173	8436	15806
174	8509	15802
175	8546	15733
176	8580	15658
177	8631	15615
178	8680	15565
179	8733	15527
180	8779	15472
181	8828	15425
182	8872	15368
183	8908	15300
184	8944	15229
185	8997	15188
186	9032	15118
187	9065	15045
188	9102	14978
189	9144	14919
190	9184	14858
191	9234	14814
192	9274	14753
193	9315	14692
194	9355	14632
195	9392	14567
196	9434	14511
197	9485	14468
198	9524	14406
199	9561	14342
200	9609	14294
201	9649	14234
202	9685	14170
203	9724	14110
204	9762	14048
205	9802	13989
206	9844	13934
207	9887	13880
208	9930	13826
